Case #1:  BA BA 
Case #2:  AC BA C BA 
Case #3:  CB CA 
Case #4:  BA BC BA 
Case #5:  AB AB AC BA 
Case #6:  BA CB AC BA 
Case #7:  CB CB C BA 
Case #8:  AC BA 
Case #9:  AB AC BA 
Case #10:  BC BA 
Case #11:  CB CB CB C BA 
Case #12:  BA BA BA 
Case #13:  BA BA C BA 
Case #14:  CA C BA 
Case #15:  CB C BA 
Case #16:  CC CB AC BA 
Case #17:  CB CB CA C BA 
Case #18:  AC AC AC BA 
Case #19:  BA C BA 
Case #20:  AA CB AC BA 
Case #21:  CB AC BA C BA 
Case #22:  CA CB AC BA 
Case #23:  BA 
Case #24:  BA BA BA BA 
Case #25:  CA CA CA C BA 
Case #26:  CA CB CA C BA 
Case #27:  BC BA C BA 
Case #28:  BA BA BA C BA 
Case #29:  C BA 
Case #30:  AB AC BA C BA 
Case #31:  BB CB AC BA 
Case #32:  BA BC BA C BA 
Case #33:  CB AC BA 
Case #34:  CB CA C BA 
Case #35:  CB CB CB CA 
Case #36:  CB CB CA 
Case #37:  BA BA BC BA 
Case #38:  AC AC BA C BA 
Case #39:  CA CA C BA 
Case #40:  CB CB AC BA 
Case #41:  CA CB CA 
Case #42:  BC BC BA 
Case #43:  BC BC BC BA 
Case #44:  BC BC BA C BA 
Case #45:  AC AC BA 
Case #46:  CA CA CB CA 
